word_id,part_of_speech,definition,sense_no,definition_id
361,a,"정통의, 진품인",0,3610
362,a,"조각된, 새겨진",0,3620
363,v,관련되어있다,0,3630
364,n,설치류,0,3640
365,v,바꾸다,0,3650
366,a,각각의,0,3660
366,a,개인의,1,3661
367,a,"너무나도 별난, 충격적인",0,3670
368,a,집중적인,0,3680
369,v,차지하다,0,3690
369,v,~를 바쁘게 하다,1,3691
370,a,가능한,0,3700
371,a,비옥한,0,3710
372,n,수습사원,0,3720
373,a,"중요한, 상당한",0,3730
374,v,정착하다,0,3740
374,v,해결결하다,1,3741
374,v,지불하다,2,3742
375,a,일상적인,0,3750
376,n,"예약, 약속",0,3760
376,n,"임명, 발령",1,3761
377,ad,"주로, 크게",0,3770
378,v,"수정하다, 변경하다",0,3780
379,a,"최악의, 큰 재앙의",0,3790
380,a,"걱정하는, 두려워하는",0,3800
381,n,쟁기,0,3810
381,v,(어려움이 있어도) 계속하다,1,3811
382,n,"물질, 실체",0,3820
383,n,가뭄,0,3830
384,a,"섬의, 섬 근처의",0,3840
385,a,"일관된, 일정한",0,3850
385,a,일치하는,1,3851
386,a,수익성이 좋은,0,3860
387,n,"묘사, 묘사법",0,3870
388,n,"불일치, 불일치성",0,3880
389,a,"괴로움을 주는, 비참한한",0,3890
390,v,오도가지도 못하게 하다,0,3900
390,n,"가닥, 분야",1,3901
